?? [s],A.dY [mm],B1.dY [mm],C1.dY [mm]
0.000000,0.000000,0.000000,0.000000
10.000000,0.077645,0.077682,0.076586
20.000000,0.188515,0.188612,0.185825
30.000000,0.333738,0.334077,0.329953
40.000000,0.435801,0.436531,0.431519
50.000000,0.558434,0.559470,0.553396
60.000000,0.661957,0.662725,0.656160
70.000000,0.738551,0.739079,0.732072
80.000000,0.823168,0.823962,0.816429
90.000000,0.921280,0.922770,0.914335
100.000000,1.076229,1.078261,1.069130
110.000000,1.222359,1.224469,1.215259
120.000000,1.389334,1.391371,1.381978
130.000000,1.544648,1.546648,1.537158
140.000000,1.708486,1.710592,1.700794
150.000000,1.847210,1.849368,1.838922
160.000000,1.965697,1.968119,1.956729
170.000000,2.068066,2.071213,2.058420
180.000000,2.165729,2.169955,2.155745
190.000000,2.268259,2.273791,2.257883
200.000000,2.363299,2.369961,2.352466
210.000000,2.459183,2.467125,2.448024
220.000000,2.556106,2.565455,2.544734
230.000000,2.656196,2.667273,2.644844
240.000000,2.756106,2.768980,2.744922
250.000000,2.852786,2.867501,2.841856
260.000000,2.947309,2.963931,2.936856
270.000000,3.042459,3.061115,3.032291
280.000000,3.139781,3.160624,3.129888
290.000000,3.235504,3.258550,3.225565
300.000000,3.330088,3.355330,3.320109
310.000000,3.421522,3.449244,3.411578
320.000000,3.513341,3.543660,3.503496
330.000000,3.609991,3.643514,3.600305
340.000000,3.710122,3.746588,3.700763
350.000000,3.806905,3.846604,3.798157
360.000000,3.894354,3.936866,3.886184
370.000000,3.980244,4.025932,3.972428
380.000000,4.068108,4.116813,4.060353
390.000000,4.161288,4.213314,4.153741
400.000000,4.257345,4.312734,4.249893
410.000000,4.357587,4.416755,4.350493
420.000000,4.454986,4.517823,4.448475
430.000000,4.545050,4.611442,4.539118
440.000000,4.634496,4.704464,4.628746
450.000000,4.727284,4.801036,4.721572
460.000000,4.827323,4.905135,4.821514
470.000000,4.921480,5.003162,4.915706
480.000000,5.012113,5.097741,5.006061
490.000000,5.100055,5.189791,5.094019
500.000000,5.190058,5.284305,5.184003
510.000000,5.243031,5.337247,5.235669
520.000000,5.279896,5.373574,5.271178
530.000000,5.326406,5.420704,5.316687
540.000000,5.413110,5.513132,5.403785
550.000000,5.513886,5.620641,5.504946
560.000000,5.602069,5.714809,5.593136
570.000000,5.692236,5.811489,5.682857
580.000000,5.786763,5.913264,5.776739
590.000000,5.856147,5.988044,5.845504
591.000014,5.891935,6.027006,5.881197
592.000014,5.896175,6.031713,5.885318
593.000014,5.899667,6.035649,5.888752
594.000014,5.904096,6.040428,5.893015
595.000014,5.912841,6.049975,5.901810
596.000014,5.924996,6.062948,5.913958
597.000014,5.941395,6.080462,5.930162
598.000014,5.957019,6.097216,5.945542
599.000014,5.971146,6.112673,5.959338
600.000014,5.982914,6.125740,5.970908
601.000014,5.993053,6.137067,5.980772
602.000014,6.000659,6.145791,5.988257
603.000014,6.007620,6.153622,5.994997
604.000014,6.013148,6.159937,6.000538
605.000014,6.017671,6.165024,6.004913
606.000014,6.022935,6.170983,6.010131
607.000014,6.030230,6.179102,6.017064
608.000014,6.042749,6.192634,6.029516
609.000014,6.056376,6.207473,6.043009
610.000014,6.069785,6.222029,6.056248
611.000014,6.080332,6.233928,6.066408
612.000014,6.090077,6.244871,6.075885
613.000014,6.097932,6.253909,6.083553
614.000014,6.105533,6.262553,6.090956
615.000014,6.112553,6.270674,6.097736
616.000014,6.118957,6.278085,6.103896
617.000014,6.126942,6.287044,6.111705
618.000014,6.134623,6.295607,6.119230
619.000014,6.143251,6.305239,6.127692
620.000014,6.152673,6.315717,6.136731
621.000014,6.161661,6.325853,6.145412
622.000014,6.171713,6.337170,6.155063
623.000014,6.181126,6.347925,6.164238
624.000014,6.190753,6.359063,6.173492
625.000014,6.201234,6.370954,6.183535
626.000014,6.210273,6.381520,6.192158
627.000014,6.220559,6.393295,6.202116
628.000014,6.229453,6.403701,6.210659
629.000014,6.239309,6.415044,6.219896
630.000014,6.249219,6.426480,6.229187
631.000014,6.259381,6.438115,6.238786
632.000014,6.268680,6.448958,6.247643
633.000014,6.276063,6.457720,6.254485
634.000014,6.280959,6.463937,6.258877
635.000014,6.286126,6.470158,6.263501
636.000014,6.292179,6.477342,6.269019
637.000014,6.301543,6.488167,6.278101
638.000014,6.313442,6.501796,6.289509
639.000014,6.328519,6.518879,6.303949
640.000014,6.344661,6.537288,6.319243
641.000014,6.356527,6.551613,6.330240
642.000014,6.366751,6.564200,6.339650
643.000014,6.374491,6.573949,6.346467
644.000014,6.382484,6.583818,6.353812
645.000014,6.388282,6.591229,6.358989
646.000014,6.392273,6.596717,6.362554
647.000014,6.396905,6.602461,6.366782
648.000014,6.401835,6.608500,6.371237
649.000014,6.408779,6.616753,6.377636
650.000014,6.419063,6.628806,6.387293
651.000014,6.431656,6.643371,6.399264
652.000014,6.444765,6.658728,6.411637
653.000014,6.454944,6.671196,6.421049
654.000014,6.463623,6.682216,6.428899
655.000014,6.470951,6.691542,6.435363
656.000014,6.477630,6.700132,6.441257
657.000014,6.483224,6.707507,6.446015
658.000014,6.489413,6.715523,6.451560
659.000014,6.496073,6.723919,6.457458
660.000014,6.503560,6.733324,6.464238
661.000014,6.512834,6.744577,6.472826
662.000014,6.522324,6.756192,6.481654
663.000014,6.531991,6.767904,6.490664
664.000014,6.540715,6.778803,6.498514
665.000014,6.549297,6.789608,6.506158
666.000014,6.558310,6.801206,6.514312
667.000014,6.567009,6.812422,6.522091
668.000014,6.575192,6.823301,6.529397
669.000014,6.582846,6.833501,6.536057
670.000014,6.591282,6.844636,6.543507
671.000014,6.600088,6.856041,6.551284
672.000014,6.608909,6.867375,6.558935
673.000014,6.617356,6.878380,6.566337
674.000014,6.625778,6.889435,6.573679
675.000014,6.634204,6.900770,6.581227
676.000014,6.642200,6.911622,6.588034
677.000014,6.650933,6.923089,6.595569
678.000014,6.659149,6.934005,6.602538
679.000014,6.667526,6.945208,6.609865
680.000014,6.676212,6.956837,6.617467
681.000014,6.684343,6.967757,6.624324
682.000014,6.692719,6.978899,6.631377
683.000014,6.699761,6.988926,6.637146
684.000014,6.708378,7.000704,6.644607
685.000014,6.716454,7.011999,6.651655
686.000014,6.724883,7.023539,6.658892
687.000014,6.732998,7.034826,6.665733
688.000014,6.740782,7.045736,6.671990
689.000014,6.748476,7.056572,6.678347
690.000014,6.756915,7.068249,6.685378
691.000014,6.765488,7.080098,6.692725
692.000014,6.772991,7.090835,6.698736
693.000014,6.780336,7.101475,6.704727
694.000014,6.788401,7.113000,6.711257
695.000014,6.796942,7.125112,6.718373
696.000014,6.804070,7.135725,6.723838
697.000014,6.811538,7.146672,6.729642
698.000014,6.820160,7.158903,6.736486
699.000014,6.829222,7.171736,6.743740
700.000014,6.836824,7.183239,6.749479
701.000014,6.844714,7.195045,6.755243
702.000014,6.852332,7.206532,6.760662
703.000014,6.859889,7.218083,6.765978
704.000014,6.867844,7.230127,6.771679
705.000014,6.875922,7.242489,6.777406
706.000014,6.883670,7.254460,6.782511
707.000014,6.891305,7.266484,6.787418
708.000014,6.898662,7.278347,6.791869
709.000014,6.906650,7.290930,6.796686
710.000014,6.912971,7.301168,6.800189
710.500026,6.918705,7.310099,6.803527
711.000026,6.923037,7.317082,6.806149
711.500026,6.926656,7.323400,6.807996
712.000026,6.929654,7.329053,6.809049
712.500026,6.933102,7.335040,6.810174
713.000026,6.937150,7.341765,6.811874
713.500026,6.941586,7.349090,6.813777
714.000026,6.945530,7.356105,6.814916
714.500026,6.948883,7.362577,6.815107
715.000026,6.952298,7.369208,6.815220
715.500026,6.955849,7.376038,6.815365
716.000026,6.959597,7.383161,6.815271
716.500026,6.963484,7.390523,6.815053
717.000026,6.967080,7.397890,6.814086
717.500026,6.970553,7.405307,6.812308
718.000026,6.974463,7.413522,6.809948
718.500026,6.978530,7.422213,6.806330
719.000026,6.982539,7.431848,6.799278
719.500026,6.988557,7.448203,6.773685
720.000026,6.991556,8.418466,6.759673
720.500026,,9.383363,
721.000026,,10.346288,
721.500026,,10.356976,
722.000026,2.138197,10.373984,
722.500026,2.133169,10.387516,
723.000026,2.123860,10.401199,1.895113
723.500026,2.116119,10.412425,1.892859
724.000026,2.111759,10.418838,1.888606
724.500026,2.110159,10.420282,1.886979
725.000026,2.108991,10.418680,1.885694
725.500026,2.108398,10.416890,1.885149
726.000026,2.107634,10.414225,1.884351
726.500026,2.107829,10.412166,1.884598
727.000026,2.108825,10.410188,1.885562
727.500026,2.109761,10.409565,1.886558
728.000026,,,
728.500026,,,
729.000026,,,
729.500026,,,
